Name,Areas affected,Month,Day,Year,Wind Speed (mph),Pressure (hPa),Damages ($),Deaths
Debra,"Texas, Oklahoma, United States Gulf Coast, Midwestern United States",July,22,1959,85,984,7000000,0
Abby,"Lesser Antilles, Puerto Rico, Leeward Antilles, Hispaniola, Jamaica, Nicaragua, Honduras, Belize, Guatemala, Mexico",July,9,1960,80,995,640,6
Debbie,"Cape Verde, Azores, Ireland, United Kingdom, Norway, Soviet Union",September,6,1961,90,975,50000000,78
Alma,"Puerto Rico, United States East Coast",August,26,1962,85,984,1000000,1
Doria,United States East Coast,September,8,1967,85,973,150,3
Gladys,"Cuba, Florida, United States East Coast, Nova Scotia",October,13,1968,85,965,18700000,11
Martha,"Panama, Costa Rica",November,21,1969,90,975,30000000,5
Beth,"The Bahamas, Florida, Nova Scotia, Newfoundland",August,10,1971,85,977,5100000,1
Fern,"Louisiana, Texas, northern Mexico",September,3,1971,90,979,30200000,2
Irene,"Lesser Antilles, Leeward Antilles, Central America",September,11,1971,80,989,1000000,3
Agnes,"Yucatin Peninsula, western Cuba, Florida Panhandle, Georgia, North Carolina, Virginia, Maryland, Pennsylvania, New York, Atlantic Canada",June,14,1972,90,977,2100000000,128
Blanche,"Maine, Nova Scotia",July,23,1975,85,980,6200000,0
Babe,"Florida, Louisiana, Alabama, Mississippi, Tennessee, Georgia, South Carolina, North Carolina and Virginia",September,3,1977,75,995,13000000,0
Kendra,"Puerto Rico, United States East Coast",October,28,1978,80,990,6000000,1
Bob,"Louisiana, Mississippi, Alabama, Midwestern United States",July,9,1979,75,983,20000000,1
Dennis,"Lesser Antilles, Greater Antilles, The Bahamas, Florida, Georgia, The Carolinas, Virginia",August,7,1981,80,995,15000000,0
Alberto,"Cuba, Florida",June,1,1982,85,985,85000000,23
Klaus,"Puerto Rico, Leeward Islands",November,5,1984,90,971,152000000,2
Bob,United States East Coast,July,21,1985,75,"1,002",20000000,5
Danny,"Cuba, United States Gulf Coast, Tennessee, The Carolinas, Virginia",August,12,1985,90,987,100000000,5
Juan,"United States Gulf Coast, central United States, Canada",October,26,1985,85,971,1500000000,12
Bonnie,"Texas, Louisiana, Southeastern United States",June,23,1986,85,992,42000000,5
Charley,"United States East Coast, United Kingdom",August,13,1986,80,987,15000000,15
Arlene,"The Bahamas, Bermuda",August,10,1987,75,987,8,0
Floyd,"Cuba, Florida, The Bahamas",October,9,1987,75,993,500,1
Florence,"Yucatin Peninsula, Louisiana, Mississippi, Alabama, Florida",September,7,1988,80,982,2900000,1
Chantal,"Texas, Louisiana, Oklahoma, Midwestern United States",July,30,1989,80,984,100000000,13
Jerry,"Texas, eastern United States",October,12,1989,85,982,70000000,3
Bertha,"The Bahamas, United States East Coast, Bermuda, Atlantic Canada",July,24,1990,80,973,3910000,9
Klaus,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States",October,3,1990,80,985,1000000,11
1991 Perfect Storm,"Northeastern United States, Mid-Atlantic states, Eastern Canada",October,31,1991,75,980,200000000,13
Gordon,"Central America, Cayman Islands, Jamaica, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Georgia, Mid-Atlantic states",November,8,1994,85,980,594000000,1152
Allison,"Yucatin Peninsula, western Cuba, Florida, Georgia, The Carolinas, Atlantic Canada",June,3,1995,75,987,1700000,1
Cesar,"Windward Islands, Trinidad and Tobago, Leeward Antilles, Venezuela, Colombia, Mexico, Socorro Island, Panama, Guatemala, El Salvador",July,24,1996,85,985,203000000,113
Marco,"Cuba, Hispaniola, Central America, Jamaica, Florida",November,16,1996,75,983,8200000,15
Danny,"Louisiana, Alabama, Southeastern United States, Mid-Atlantic states, New England",July,16,1997,80,984,100000000,9
Debby,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica",August,19,2000,85,991,735,1
Gordon,"Belize, Yucatin Peninsula, Cuba, United States East Coast, Atlantic Canada",September,14,2000,80,981,10800000,26
Karen,"Bermuda, Atlantic Canada",October,12,2001,80,982,1400000,0
Kyle,"Bermuda, Florida, Georgia, The Carolinas, British Isles",September,20,2002,85,980,5000000,1
Claudette,"Windward Islands, Jamaica, Yucatin Peninsula, Northern Mexico, Texas",July,8,2003,90,979,181000000,3
Erika,"Florida, Mexico, Southern Texas",August,14,2003,75,986,100,2
Gaston,"The Carolinas, Virginia, Maryland, Delaware, Massachusetts",August,27,2004,75,985,130000000,9
Cindy,"Yucatin Peninsula, The Carolinas, Alabama, Mississippi, Louisiana",July,3,2005,75,991,320000000,3
Ophelia,"The Bahamas, Eastern Coast of the United States, Atlantic Canada, Europe",September,6,2005,85,976,70000000,3
Stan,"Costa Rica, Nicaragua, Honduras, El Salvador, Belize, Guatemala, Mexico",October,1,2005,80,977,3960000000,1668
Ernesto,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, United States East Coast, Atlantic Canada",August,24,2006,75,985,500000000,11
Florence,"Bermuda, Newfoundland, United States East Coast, Atlantic Canada, Iceland, Greenland",September,3,2006,90,974,200,0
Humberto,"Texas, Louisiana, Mississippi, The Carolinas",September,12,2007,90,985,50000000,1
Lorenzo,Central Mexico,September,25,2007,80,990,92000000,6
Noel,"The Caribbean, The Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe",October,28,2007,80,980,580000000,222
Hanna,"Puerto Rico, Turks and Caicos Islands, The Bahamas, Hispaniola, United States East Coast, Atlantic Canada",August,28,2008,85,977,160000000,537
Kyle,"Puerto Rico, Hispaniola, Bermuda, New England, Atlantic Canada",September,25,2008,85,984,57100000,8
