country,iso3c,iso2c,year,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)",GDP (current US$),"GDP per capita, PPP (current international $)",adminregion,incomeLevel
Africa Eastern and Southern,AFE,ZH,1999,,,262197179765.274,2094.51636207737,,Aggregates
Africa Eastern and Southern,AFE,ZH,2000,,10.8817220324487,283952504751.698,2159.39962534988,,Aggregates
Africa Eastern and Southern,AFE,ZH,2001,,10.5125510023473,258843211433.203,2229.73918805131,,Aggregates
Africa Eastern and Southern,AFE,ZH,2002,,10.3734339851292,264895032411.725,2293.76099351977,,Aggregates
Africa Eastern and Southern,AFE,ZH,2003,,10.2298787973089,352692089583.594,2350.92077580095,,Aggregates
Africa Eastern and Southern,AFE,ZH,2004,,10.0082016280098,438875574172.163,2484.68831498153,,Aggregates
Africa Eastern and Southern,AFE,ZH,2005,,9.86433920324969,512259874365.035,2651.03845111364,,Aggregates
Africa Eastern and Southern,AFE,ZH,2006,,9.70290912755848,575976209979.202,2837.03348424991,,Aggregates
Africa Eastern and Southern,AFE,ZH,2007,,9.66493051816377,661242216575.303,3027.82102501785,,Aggregates
Africa Eastern and Southern,AFE,ZH,2008,,9.89384904256576,708354291357.645,3142.99611733141,,Aggregates
Africa Eastern and Southern,AFE,ZH,2009,,9.85288289304622,712557951490.059,3109.6051243093,,Aggregates
Africa Eastern and Southern,AFE,ZH,2010,,9.46778022053112,847409491176.197,3217.66015856683,,Aggregates
Africa Eastern and Southern,AFE,ZH,2011,,9.06369754803709,943378184761.64,3323.27201407332,,Aggregates
Africa Eastern and Southern,AFE,ZH,2012,15.1,8.85979030525381,950521438838.682,3237.87065825646,,Aggregates
Africa Eastern and Southern,AFE,ZH,2013,,8.74941380256847,964242449960.242,3365.68297673587,,Aggregates
Africa Eastern and Southern,AFE,ZH,2014,10.5,8.56586940315826,984807065632.553,3503.69938272761,,Aggregates
Africa Eastern and Southern,AFE,ZH,2015,10.3,8.47956519380182,919930022724.422,3533.23081924489,,Aggregates
Africa Eastern and Southern,AFE,ZH,2016,,8.32465933832411,873354876607.317,3627.29434796082,,Aggregates
Africa Eastern and Southern,AFE,ZH,2017,,8.24406169639093,985355704660.083,3702.39068536008,,Aggregates
Africa Eastern and Southern,AFE,ZH,2018,,8.12888431481776,1012853224905.79,3791.87540747988,,Aggregates
Africa Eastern and Southern,AFE,ZH,2019,,8.03629338807931,1009909855421.84,3842.57851067034,,Aggregates
Africa Eastern and Southern,AFE,ZH,2020,,,920792331527.746,3684.56262313758,,Aggregates
Africa Western and Central,AFW,ZI,1970,,,23504608014.6703,,,Aggregates
Africa Western and Central,AFW,ZI,1971,,,20832819361.2583,,,Aggregates
Africa Western and Central,AFW,ZI,1972,,,25264956496.1857,,,Aggregates
Africa Western and Central,AFW,ZI,1973,,,31273822294.4754,,,Aggregates
Africa Western and Central,AFW,ZI,1974,,,44214489605.7396,,,Aggregates
Africa Western and Central,AFW,ZI,1975,,,51444737234.3198,,,Aggregates
Africa Western and Central,AFW,ZI,1976,,,62129396932.5444,,,Aggregates
Africa Western and Central,AFW,ZI,1977,,,65315014927.362,,,Aggregates
Africa Western and Central,AFW,ZI,1978,,,71199715512.1281,,,Aggregates
Africa Western and Central,AFW,ZI,1979,,,88628410997.2053,,,Aggregates
Africa Western and Central,AFW,ZI,1980,,,112031316716.518,,,Aggregates
Africa Western and Central,AFW,ZI,1981,,,211003522772.267,,,Aggregates
Africa Western and Central,AFW,ZI,1982,,,187163730429.134,,,Aggregates
Africa Western and Central,AFW,ZI,1983,,,138115205724.066,,,Aggregates
Africa Western and Central,AFW,ZI,1984,,,114262672752.222,,,Aggregates
Africa Western and Central,AFW,ZI,1985,,,116507304373.059,,,Aggregates
Africa Western and Central,AFW,ZI,1986,,,107497531255.437,,,Aggregates
Africa Western and Central,AFW,ZI,1987,,,110321757308.765,,,Aggregates
Africa Western and Central,AFW,ZI,1988,,,108943462603.12,,,Aggregates
Africa Western and Central,AFW,ZI,1989,,,101768781748.054,,,Aggregates
Africa Western and Central,AFW,ZI,1990,,,121802185300.139,1730.7115203988,,Aggregates
Africa Western and Central,AFW,ZI,1991,,,117457042740.623,1763.35459517979,,Aggregates
Africa Western and Central,AFW,ZI,1992,,,118282284598.653,1801.29161656193,,Aggregates
Africa Western and Central,AFW,ZI,1993,,,98826405551.0238,1776.37352134758,,Aggregates
Africa Western and Central,AFW,ZI,1994,,,86281770253.474,1763.9069722774,,Aggregates
Africa Western and Central,AFW,ZI,1995,,,108221322522.552,1790.67112685718,,Aggregates
Africa Western and Central,AFW,ZI,1996,,,125763049173.424,1858.69302008435,,Aggregates
Africa Western and Central,AFW,ZI,1997,,,127063932192.748,1921.69039946658,,Aggregates
Africa Western and Central,AFW,ZI,1998,,,130106844606.853,1960.06154167227,,Aggregates
Africa Western and Central,AFW,ZI,1999,,,137520164451.485,1965.69011719106,,Aggregates
Africa Western and Central,AFW,ZI,2000,,6.80357120756122,140407973778.931,2027.39936974128,,Aggregates
Africa Western and Central,AFW,ZI,2001,,6.71954487006623,148012003011.166,2123.11956183358,,Aggregates
Africa Western and Central,AFW,ZI,2002,,6.61160892211848,176933365387.396,2298.88600746148,,Aggregates
Africa Western and Central,AFW,ZI,2003,,6.59923837372452,204641949829.561,2405.56387496919,,Aggregates
Africa Western and Central,AFW,ZI,2004,,6.56257642555317,254090255061.056,2596.23409700437,,Aggregates
Africa Western and Central,AFW,ZI,2005,,6.56831355306242,310554338477.887,2757.79210148405,,Aggregates
Africa Western and Central,AFW,ZI,2006,,6.57337693367305,393296680919.431,2912.19546241924,,Aggregates
Africa Western and Central,AFW,ZI,2007,,6.56171142686335,461777599573.788,3066.93398516866,,Aggregates
Africa Western and Central,AFW,ZI,2008,,6.44344698546741,566425696836.635,3230.71908428466,,Aggregates
Africa Western and Central,AFW,ZI,2009,,6.44392598771953,506996402016.437,3359.36265521762,,Aggregates
Africa Western and Central,AFW,ZI,2010,,6.41858139765653,591582966686.497,3532.1429859982,,Aggregates
Africa Western and Central,AFW,ZI,2011,,6.39109562820828,670962551547.58,3675.39244102586,,Aggregates
Africa Western and Central,AFW,ZI,2012,13.3,6.30117554600631,727571396578.054,3772.32380201759,,Aggregates
Africa Western and Central,AFW,ZI,2013,,6.20068642951385,820787588844.362,4013.19652314325,,Aggregates
Africa Western and Central,AFW,ZI,2014,8.1,5.99800314712603,864966625366.588,4208.73177986288,,Aggregates
Africa Western and Central,AFW,ZI,2015,8.1,5.76856597656181,760729687146.574,4139.32336449764,,Aggregates
Africa Western and Central,AFW,ZI,2016,,5.67270095712388,690543020916.229,4069.00566669605,,Aggregates
Africa Western and Central,AFW,ZI,2017,,5.5581445398922,683741574626.192,4115.64548016502,,Aggregates
Africa Western and Central,AFW,ZI,2018,,5.42982105406161,741691624372.788,4231.8157735629,,Aggregates
Africa Western and Central,AFW,ZI,2019,,5.40949890228626,794572474605.872,4335.19954736606,,Aggregates
Africa Western and Central,AFW,ZI,2020,,,784587603322.866,4242.11448887284,,Aggregates
Albania,ALB,AL,1970,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1971,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1972,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1973,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1974,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1975,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1976,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1977,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1978,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1979,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1980,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1981,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1982,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1983,,,,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1984,,,1857338011.85488,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1985,,,1897050133.42015,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1986,,,2097326250.0,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1987,,,2080796250.0,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1988,,,2051236250.0,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1989,,,2253090000.0,,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1990,,,2028553750.0,2548.11243689941,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1991,,,1099559027.77778,1908.09530432666,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1992,4.0050685683,,652174990.837304,1822.33476086485,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1993,5.9777240582,,1185315468.46295,2056.37308669894,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1994,3.5594902047,,1880951520.3972,2288.6759563705,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1995,8.3201544015,,2392764853.42107,2664.37301811108,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1996,8.7778774253,,3199641335.93751,2978.50845068672,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1997,43.035770339,,2258513974.0968,2717.6443480695,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1998,21.217096222,,2545964540.88383,3021.04157736341,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,1999,17.036538893,,3212121650.97755,3471.66150890924,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2000,4.1863119742,4.9,3480355258.04122,3860.80462705845,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2001,7.0294254946,4.5,3922100793.5403,4299.54649293767,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2002,6.9093843834,4.6,4348068242.19512,4661.40269532788,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2003,5.3238965663,4.8,5611496257.14231,5000.04936305629,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2004,4.2191470044,4.8,7184685781.51876,5427.73266241123,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2005,4.9889691947,7.5,8052073539.38058,5865.30190379844,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2006,3.1015131793,7.8,8896072918.9814,6566.57282794654,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2007,3.4607858357,8.1,10677324144.4289,7283.34263812006,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2008,3.0972300439,8.2,12881353507.8539,8228.34804111345,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2009,2.8590226044,8.1,12044208085.864,8813.02946080293,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2010,4.3079630492,7.8,11926922828.9911,9628.72196177826,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2011,4.8487315274,7.9,12890764531.3284,10207.7675731705,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2012,5.3876148686,5.2,12319830437.3467,10526.2591833762,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2013,4.2702841943,5.3,12776220507.0162,10570.963733047,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2014,4.0396270147,5.0,13228147516.1168,11259.2675137673,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2015,2.214131417,4.8,11386850129.8411,11658.9055171112,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2016,2.7369477905,4.7,11861199830.8396,12078.8431361843,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2017,2.0109778588,4.7,13019689336.6919,12770.9642910053,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2018,2.2894924438,4.5,15156432309.8977,13483.0116137185,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2019,,4.3,15400242874.8812,14012.9764354305,Europe & Central Asia (excluding high income),Upper middle income
Albania,ALB,AL,2020,,,14887629268.2927,13439.6652780757,Europe & Central Asia (excluding high income),Upper middle income
Algeria,DZA,DZ,1970,,,4863487492.65763,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1971,,,5077222366.97472,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1972,,,6766766610.86932,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1973,,,8707847924.29022,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1974,,,13210029612.2659,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1975,,,15557934268.4965,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1976,,,17728347374.994,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1977,,,20971901273.271,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1978,,,26364491313.4471,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1979,,,33243422157.6311,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1980,,,42346380830.7708,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1981,,,44348672667.8715,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1982,,,45207088715.6483,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1983,,,48801369800.3675,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1984,,,53698278905.9678,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1985,,,57937868670.1937,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1986,,,63692238160.0493,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1987,,,66746396416.2732,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1988,,,59089067187.3943,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1989,,,55634414465.2104,,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1990,,,62048562947.2509,6912.08714117256,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1991,,,45715614559.7064,6888.50994981191,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1992,,,48003078388.5401,7005.70076285362,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1993,,,49945599428.5812,6866.88911745849,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1994,,,42543178042.4148,6807.95166232568,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1995,,,41764315330.4366,7078.35117951258,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1996,,,46941582519.4661,7373.07499715188,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1997,,,48177612042.1507,7465.89958356471,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1998,,,48187747528.899,7816.77214903166,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,1999,,,48640653469.3025,8068.2966884468,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2000,,4.5,54790392746.1939,8446.58774102862,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2001,,4.5,54744712814.8676,8775.11790745312,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2002,,4.4,56760355865.0082,9293.83714349081,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2003,2.01461938,4.1,67863828412.6882,10019.3578919395,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2004,1.3734182634,4.0,85332581188.6107,10591.0381897757,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2005,0.61538981325,3.9,103198223709.439,11405.6425223873,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2006,0.9274395383,3.7,117027307540.89,11776.0404022627,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2007,0.79316355068,3.5,134977082623.78,12311.0384280957,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2008,0.94441202347,3.4,171000699876.747,12643.1514779138,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2009,0.78395009074,3.2,137211035770.034,12722.3786946243,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2010,0.7059977651,3.0,161207270185.25,13095.449178663,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2011,0.76374527371,3.0,200013052199.2,13500.0447902878,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2012,1.3989980018,2.9,209058991952.125,13303.3275185881,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2013,1.2585167829,2.9,209755003250.664,13056.8025915699,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2014,1.4823877943,2.8,213810024944.464,13003.2668603131,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2015,1.3642763974,2.7,165979279263.174,12015.6405282427,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2016,,2.6,160034163871.455,11624.3407751545,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2017,,2.5,170097014589.134,11737.4012353821,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2018,,2.5,174910878623.049,11909.9298247204,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2019,,2.5,171767403748.19,12009.248207942,Middle East & North Africa (excluding high income),Lower middle income
Algeria,DZA,DZ,2020,,,145009181490.62,11324.2358133821,Middle East & North Africa (excluding high income),Lower middle income
American Samoa,ASM,AS,1970,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1971,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1972,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1973,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1974,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1975,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1976,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1977,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1978,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1979,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1980,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1981,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1982,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1983,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1984,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1985,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1986,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1987,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1988,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1989,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1990,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1991,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1992,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1993,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1994,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1995,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1996,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1997,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1998,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,1999,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2000,,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2001,1.7095185996,,,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2002,11.848942905,,512000000.0,,East Asia & Pacific (excluding high income),Upper middle income
American Samoa,ASM,AS,2003,5.0424405412,,524000000.0,,East Asia & Pacific (excluding high income),Upper middle income
