Cause,Type,Year,Data Redundancy,Total Deaths,Source,Page at Source,Source URL
Angin Siklon Tropis,Bencana Alam,2010,1,10,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Angin Siklon Tropis,Bencana Alam,2011,1,4,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Angin Siklon Tropis,Bencana Alam,2012,1,23,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Angin siklon tropis (angin kencang dan angin puting beliung),Bencana Alam,2009,1,4,Profil Kesehatan Indonesia Tahun 2009,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf
Angin Topan,Bencana Alam,2005,1,0,Profil Kesehatan Indonesia Tahun 2005,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf
Angin Topan / Angin Puting Beliung / Angin Puyuh,Bencana Alam,2006,1,9,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf
Angin Topan / Angin Puting Beliung / Angin Puyuh,Bencana Alam,2007,1,10,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf
Antraks,Bencana Non Alam dan Penyakit,2000,1,0,Profil Kesehatan Indonesia Tahun 2004,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf
Antraks,Bencana Non Alam dan Penyakit,2001,1,2,Profil Kesehatan Indonesia Tahun 2004,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf
Antraks,Bencana Non Alam dan Penyakit,2002,2,8,Profil Kesehatan Indonesia Tahun 2004,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf
Antraks,Bencana Non Alam dan Penyakit,2002,2,8,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2003,2,2,Profil Kesehatan Indonesia Tahun 2004,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf
Antraks,Bencana Non Alam dan Penyakit,2003,2,2,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2004,2,8,Profil Kesehatan Indonesia Tahun 2004,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf
Antraks,Bencana Non Alam dan Penyakit,2004,2,8,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2005,2,1,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2005,2,1,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Antraks,Bencana Non Alam dan Penyakit,2006,3,1,Profil Kesehatan Indonesia Tahun 2006,50,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf
Antraks,Bencana Non Alam dan Penyakit,2006,3,1,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2006,3,1,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Antraks,Bencana Non Alam dan Penyakit,2007,3,5,Profil Kesehatan Indonesia Tahun 2007,90,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf
Antraks,Bencana Non Alam dan Penyakit,2007,3,5,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2007,3,5,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Antraks,Bencana Non Alam dan Penyakit,2008,5,0,Profil Kesehatan Indonesia Tahun 2008,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf
Antraks,Bencana Non Alam dan Penyakit,2008,5,0,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Antraks,Bencana Non Alam dan Penyakit,2008,5,0,Profil Kesehatan Indonesia Tahun 2013,158,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf
Antraks,Bencana Non Alam dan Penyakit,2008,5,0,Profil Kesehatan Indonesia Tahun 2014,164,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2014.pdf
Antraks,Bencana Non Alam dan Penyakit,2008,5,0,Profil Kesehatan Indonesia Tahun 2015,200,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2009,54,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2013,158,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2014,164,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2014.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2015,200,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Antraks,Bencana Non Alam dan Penyakit,2009,7,2,Profil Kesehatan Indonesia Tahun 2016,194,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2010,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.7,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2013,158,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2014,164,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2014.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2015,200,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Antraks,Bencana Non Alam dan Penyakit,2010,7,1,Profil Kesehatan Indonesia Tahun 2016,194,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,0,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,0,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.7,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,1,Profil Kesehatan Indonesia Tahun 2013,158,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,1,Profil Kesehatan Indonesia Tahun 2013,Lampiran 6.33,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,1,Profil Kesehatan Indonesia Tahun 2014,164,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2014.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,0,Profil Kesehatan Indonesia Tahun 2015,200,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,0,Profil Kesehatan Indonesia Tahun 2016,194,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,0,Profil Kesehatan Indonesia Tahun 2017,212,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf
Antraks,Bencana Non Alam dan Penyakit,2011,9,0,Profil Kesehatan Indonesia Tahun 2018,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf
Antraks,Bencana Non Alam dan Penyakit,2012,8,0,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.7,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf
Antraks,Bencana Non Alam dan Penyakit,2012,8,0,Profil Kesehatan Indonesia Tahun 2013,158,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf
