site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,prod_size,dev_stat,ore,gangue,work_type,hrock_type,arock_type
Rita Alta Mine,38.23362,-105.68002,NA,United States,Colorado,Custer,M,Copper,,,Underground,S,Past Producer,Chalcopyrite,"Quartz, Barite",Underground,"Siltstone,Sandstone",
Cherokee Mine,41.71382,-111.07356,NA,United States,Utah,Rich,N,Phosphorus-Phosphates,,,Underground,L,Past Producer,Apatite,,Underground,Shale,
Western King Prospect,47.42316,-116.29963,NA,United States,Idaho,Shoshone,M,Manganese,,,Underground,N,Prospect,,"Limonite, Quartz, Siderite",Underground,,Rhyolite
Little Mattie Lode,37.36947,-104.96916,NA,United States,Colorado,Las Animas,M,"Gold, Silver, Lead",Copper,,Underground,N,Prospect,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite","Calcite, Quartz, Siderite",Underground,"Shale,Sandstone,Conglomerate","Syenite,Diorite"
John Moore and Lucky Claims,37.61169,-105.27528,NA,United States,Colorado,Costilla,M,Iron,"Silver, Gold",,Underground,N,Past Producer,"Hematite, Magnetite, Pyrite, Chalcopyrite","Calcite, Garnet, Epidote",Underground,Limestone,Monzonite
Blue Bird Mine,37.56974,-105.28112,NA,United States,Colorado,Costilla,M,Copper,Silver,,Underground,N,Prospect,"Chalcocite, Chalcopyrite",,Underground,,
Mountain View Mine,37.62002,-105.2575,NA,United States,Colorado,Costilla,M,Gold,,,Underground,S,Past Producer,Pyrite,Siderite,Underground,Monzonite,
Granite Queen Property,44.72457,-116.26068,NA,United States,Idaho,Adams,M,Copper,,,Underground,N,Occurrence,"Chalcocite, Chalcopyrite, Malachite",,Underground,Gneiss,Pegmatite
Caroline Tunnel,38.10723,-105.3389,NA,United States,Colorado,Custer,M,Silver,,,Underground,N,Prospect,,,Underground,Andesite,Trachyte
Golden Gate Mine,38.12834,-105.34029,NA,United States,Colorado,Custer,M,Silver,Gold,,Underground,S,Past Producer,Pyrite,Quartz,Underground,Trachyandesite,Trachyandesite
Hector Prospect,38.12751,-105.32418,NA,United States,Colorado,Custer,M,Silver,,,Underground,N,Prospect,,,Underground,Andesite,Andesite
Johnny M Mine,35.36227,-107.72368,NA,United States,New Mexico,McKinley,M,Uranium,Vanadium,"Molybdenum, Copper, Selenium, Arsenic",Underground,Y,Producer,"Jordisite, Marcasite","Barite, Calcite, Pyrite",Underground,Sandstone,
L-Bar Deposits,35.182,-107.32839,NA,United States,New Mexico,Cibola,M,Uranium,,Vanadium,Underground,Y,Past Producer,"Carnotite, Coffinite, Tyuyamunite, Uraninite",,Underground,Sandstone,
Northeast Church Rock Mine,35.65671,-108.50897,NA,United States,New Mexico,McKinley,M,Uranium,,,Underground,Y,Producer,,,Underground,Sandstone,
Rio Puerco Mine,35.27312,-107.18949,NA,United States,New Mexico,Sandoval,M,Uranium,,,Underground,Y,Past Producer,,,Underground,Sandstone,
Saint Anthony Mine,35.164,-107.301,NA,United States,New Mexico,Cibola,M,Uranium,,Vanadium,Surface-Underground,S,Past Producer,"Carnotite, Coffinite, Tyuyamunite, Uraninite","Hematite, Kaolinite",Surface/Underground,Sandstone,
Boulder-Buffalo,38.14057,-105.4389,NA,United States,Colorado,Custer,M,Silver,"Iron, Manganese",,Surface,S,Past Producer,"Cerargyrite, Ocher, Psilomelane",Kaolin,Surface,"Clay, Mud,Volcanic Rock (Aphanitic),Rhyolite","Clay, Mud,Rhyolite"
California Shaft,38.11001,-105.32001,NA,United States,Colorado,Custer,M,Silver,Lead,,Underground,S,Past Producer,Galena,Barite,Underground,Trachyte,Trachyte
Game Ridge Mine,38.10612,-105.32057,NA,United States,Colorado,Custer,M,Silver,,,Underground,S,Past Producer,Cerargyrite,Quartz,Unknown,Trachyte,Trachyte
Hard Cash Mine,38.11362,-105.31863,NA,United States,Colorado,Custer,M,Silver,,,Underground,S,Past Producer,"Chalcocite, Galena",,Underground,Trachyte,Trachyte
Iron Mountain Mine,38.11807,-105.37307,NA,United States,Colorado,Custer,M,"Silver, Iron",,"REE, Molybdenum, Copper",Surface-Underground,S,Past Producer,"Sphalerite, Apatite, Brochantite, Goethite, Hematite, Jarosite, Magnetite, Molybdenite, Powellite, Pyrite, Siderite, Tennantite","Actinolite, Barite, Calcite, Chalcedony, Chlorite, Diopside, Phlogopite, Quartz, Ankerite",Underground,"Trachyandesite,Andesite","Trachyandesite,Andesite"
Julianna Mine,38.12307,-105.32418,NA,United States,Colorado,Custer,M,Silver,,,Underground,S,Past Producer,"Galena, Sphalerite",Quartz,Underground,Andesite,Andesite
Keystone Mine,38.1639,-105.44751,NA,United States,Colorado,Custer,M,Silver,"Copper, Lead, Zinc, Gold",Iron,Underground,S,Past Producer,"Chalcopyrite, Galena, Gold, Magnetite, Pyrite, Sphalerite","Barite, Fluorite, Quartz",Underground,Gneiss,Rhyolite
King of the Valley Mine,38.14223,-105.44557,NA,United States,Colorado,Custer,M,Silver,,"Manganese, Iron",Underground,S,Past Producer,Cerargyrite,"Clay, Wad",Underground,"Volcanic Rock (Aphanitic),Obsidian,Rhyolite",Rhyolite
Nellie Mine,38.11445,-105.32113,NA,United States,Colorado,Custer,M,Silver,"Zinc, Lead, Copper",,Underground,S,Past Producer,"Galena, Sphalerite",Pyrite,Underground,Trachyte,Trachyte
Plata Verde Mine,38.14418,-105.42474,NA,United States,Colorado,Custer,M,Silver,,,Surface,S,Past Producer,,,Surface,"Rhyolite,Volcanic Breccia (Agglomerate)",
Polonia Shaft,38.1114,-105.3289,NA,United States,Colorado,Custer,M,Silver,"Lead, Copper, Zinc",Iron,Underground,S,Past Producer,"Chalcopyrite, Galena, Pyrite, Sphalerite, Argentite, Chalcocite, Stephanite","Barite, Calcite",Underground,Trachyte,
Poorman Shaft,38.12279,-105.32807,NA,United States,Colorado,Custer,M,Silver,"Lead, Zinc",,Underground,S,Past Producer,"Galena, Sphalerite","Quartz, Clay",Underground,,Trachyte
Seneca Tunnel,38.11362,-105.34057,NA,United States,Colorado,Custer,M,Silver,Gold,,Underground,S,Prospect,"Pyrite, Galena",Quartz,Underground,"Andesite,Volcanic Breccia (Agglomerate)","Rhyolite,Trachyte"
Sunrise Mine,38.16223,-105.44307,NA,United States,Colorado,Custer,M,Silver,Copper,,Underground,S,Past Producer,,,Underground,"Rhyolite,Tuff",
Transylvania Tunnel,38.10557,-105.33779,NA,United States,Colorado,Custer,M,Silver,"Lead, Zinc",,Underground,S,Past Producer,"Galena, Sphalerite",Kaolin,Underground,"Volcanic Breccia (Agglomerate),Andesite","Trachyte,Andesite"
Geyser Mine,38.1389,-105.4414,NA,United States,Colorado,Custer,M,"Lead, Silver","Gold, Copper, Zinc",,Underground,M,Past Producer,"Argentite, Chalcopyrite, Galena, Gold, Hessite, Polybasite, Pyrargyrite, Sphalerite, Tetrahedrite","Barite, Calcite, Chalcedony, Garnet, Quartz, Topaz",Unknown,"Gneiss,Obsidian,Tuff,Volcanic Breccia (Agglomerate),Rhyolite","Gneiss,Obsidian,Tuff,Volcanic Breccia (Agglomerate),Rhyolite"
Twenty-Six Shafts,38.11251,-105.33335,NA,United States,Colorado,Custer,M,Silver,"Lead, Copper",,Underground,S,Past Producer,"Argentite, Chalcopyrite, Galena","Barite, Calcite, Pyrite",Unknown,"Andesite,Trachyte",
Songbird Mine,38.1614,-105.46446,NA,United States,Colorado,Custer,B,Perlite,"Silver, Lead",,Surface-Underground,S,Past Producer,"Galena, Magnetite, Pyrite","Illite, Jarosite, Quartz",Underground,Gneiss,"Tuff,Rhyolite,Latite"
Negrohead Manganese Mine,34.00676,-107.0567,NA,United States,New Mexico,Socorro,M,Manganese,,,Surface,S,Past Producer,"Psilomelane, Pyrolusite",,Surface,Rhyolite,Rhyolite
Pitch Mine,38.4075,-106.30088,NA,United States,Colorado,Saguache,M,Uranium,Vanadium,"Copper, Zinc, Lead",Surface-Underground,M,Past Producer,"Pitchblende, Uraninite, Uranophane","Chalcocite, Covellite, Galena, Hematite, Jasper, Limonite, Marcasite, Pyrite",Surface/Underground,"Shale,Sandstone,Limestone,Dolomite",
Henderson Mine,39.76916,-105.84199,NA,United States,Colorado,Clear Creek,M,Molybdenum,"Tin, Tungsten, Lead","Iron, Zinc",Underground,L,Producer,Molybdenite,"Fluorite, Galena, Hematite, Huebnerite, Magnetite, Pyrite, Quartz, Sericite, Sphalerite, Topaz, Rhodochrosite",Underground,"Granitoid,Granite","Rhyolite,Granite"
Urad Mine,39.7561,-105.82754,NA,United States,Colorado,Clear Creek,M,Molybdenum,,"Uranium, Tungsten, Zinc, Lead",Underground,S,Past Producer,Molybdenite,"Ferrimolybdite, Fluorite, Galena, Huebnerite, Pyrite, Quartz, Sericite, Sphalerite, Rhodochrosite",Underground,"Granitoid,Granite",Rhyolite
Preston Gold Mine,38.1514,-105.4514,NA,United States,Colorado,Custer,M,"Silver, Gold",,,Underground,S,Past Producer,Argentite,"Illite, Quartz",Underground,"Volcanic Breccia (Agglomerate),Rhyolite",
Racine Boy Mine,38.13918,-105.4389,NA,United States,Colorado,Custer,M,"Silver, Lead",,"Iron, Manganese",Surface,S,Past Producer,"Cerargyrite, Galena, Goethite, Jarosite","Quartz, Talc",Surface/Underground,Rhyolite,
Pioneer Mine,38.11029,-105.33974,NA,United States,Colorado,Custer,M,"Gold, Silver","Copper, Lead",,Underground,S,Past Producer,"Chalcopyrite, Covellite, Galena, Malachite, Pyrite, Silver, Stephanite, Tetrahedrite","Barite, Calcite, Clay",Underground,"Trachyte,Volcanic Breccia (Agglomerate)",Andesite
Humboldt Mine,38.10362,-105.33307,NA,United States,Colorado,Custer,M,Silver,"Copper, Lead",,Underground,S,Past Producer,"Chalcopyrite, Galena, Pyrite, Silver, Stephanite, Tetrahedrite","Barite, Calcite, Clay",Underground,"Volcanic Breccia (Agglomerate),Andesite","Trachyte,Andesite"
Leavenworth Mine,38.11001,-105.34835,NA,United States,Colorado,Custer,M,"Lead, Silver",Copper,Iron,Underground,S,Past Producer,"Chalcopyrite, Galena, Pyrite, Silver, Stephanite, Tetrahedrite","Barite, Calcite, Clay",Underground,"Volcanic Breccia (Agglomerate),Andesite","Trachyte,Andesite"
Barite Lode 2,38.14918,-105.34918,NA,United States,Colorado,Custer,M,Thorium,"Lead, Copper, Silver",Uranium,Surface-Underground,N,Prospect,"Chalcopyrite, Galena, Silver, Thorite","Barite, Hematite, Limonite, Quartz",Surface/Underground,"Gneiss,Migmatite,Granite",
Pocahontas Mine,38.10473,-105.33613,NA,United States,Colorado,Custer,M,Silver,"Lead, Copper",,Underground,S,Past Producer,"Chalcopyrite, Galena, Malachite, Pyrite, Silver, Stephanite, Tetrahedrite","Barite, Calcite, Clay",Underground,"Andesite,Volcanic Breccia (Agglomerate)",Trachyte
Virginia Mine,38.10251,-105.33446,NA,United States,Colorado,Custer,M,"Lead, Silver",Copper,Iron,Underground,S,Past Producer,"Chalcopyrite, Galena, Pyrite, Silver, Stephanite, Tetrahedrite","Barite, Calcite",Unknown,"Andesite,Tuff,Volcanic Breccia (Agglomerate)",
Pennie Poker,38.24445,-105.36168,NA,United States,Colorado,Custer,M,"Thorium, REE",Lead,,Surface-Underground,N,Past Producer,"Galena, Thorite","Barite, Hematite, Limonite, Quartz, Siderite",Surface/Underground,Gneiss,
John Spalding,38.2289,-105.26863,NA,United States,Colorado,Custer,B,"Barium-Barite, Thorium",Lead,,Surface-Underground,N,Prospect,Thorite,"Barite, Chlorite, Galena, Hematite, Quartz, Serpentine",Surface/Underground,Gneiss,Granite
Lee Jones Ranch,38.17445,-105.30668,NA,United States,Colorado,Custer,M,"Uranium, Thorium",,,Surface,N,Prospect,Thorite,,Surface,"Gneiss,Granite",
Franklin Mine,38.17445,-105.23113,NA,United States,Colorado,Custer,M,"Thorium, REE","Lead, Copper",,Surface-Underground,S,Past Producer,"Bornite, Galena, Thorite","Barite, Calcite, Clay, Hematite, Limonite, Quartz, Siderite",Surface/Underground,Gneiss,
Floyd Watters Ranch,38.18251,-105.21974,NA,United States,Colorado,Custer,M,"Uranium, Vanadium",,"Radium, Thorium, REE, Lead",Surface,S,Past Producer,"Galena, Thorite","Calcite, Caliche, Fluorite, Hematite, Limonite",Surface,Gneiss,Lamprophyre
Sewell Ranch,38.16807,-105.21529,NA,United States,Colorado,Custer,M,"REE, Thorium",,,Underground,N,Prospect,Thorite,"Barite, Calcite, Galena, Limonite, Quartz",Surface/Underground,Gneiss,Syenite
Starbuck Claim,38.20001,-105.32085,NA,United States,Colorado,Custer,M,"Thorium, REE",Gold,,Surface-Underground,N,Prospect,"Gold, Thorite","Barite, Fluorite, Galena, Hematite, Limonite, Pyrite, Quartz",Surface/Underground,"Schist,Gneiss",
Pine Tree Claim,38.18668,-105.29001,NA,United States,Colorado,Custer,B,Thorium,Barium-Barite,,Underground,S,Past Producer,"Barite, Thorite","Fluorite, Galena, Limonite, Pyrite, Quartz, Specularite",Surface/Underground,Gneiss,
Terrible Mine,38.21862,-105.24724,NA,United States,Colorado,Custer,M,Lead,"Silver, Gold",,Surface-Underground,S,Past Producer,"Phosgenite, Cerussite","Calcite, Chalcedony, Chert, Limonite, Manganese Ox-Hydrous",Surface/Underground,Gneiss,"Syenite,Diorite"
O. Tuttle Property,38.27918,-105.27946,NA,United States,Colorado,Fremont,B,Thorium,Barium-Barite,,Surface,N,Prospect,"Barite, Thorite","Chalcopyrite, Fluorite, Galena, Limonite, Pyrite, Quartz, Siderite",Surface/Underground,Gneiss,"Mafic Intrusive Rock,Gabbro"
Beardsley Deposit,38.12029,-105.32168,NA,United States,Colorado,Custer,B,"Thorium, REE",Barium-Barite,,Surface,S,Past Producer,"Barite, Thorite","Fluorite, Galena, Limonite, Microcline, Pyrite, Quartz, Rutile",Underground,Gneiss,Syenite
Independence Mine,37.94584,-105.65002,NA,United States,Colorado,Saguache,M,"Gold, Copper, Silver",,,Underground,S,Past Producer,"Chalcopyrite, Gold, Pyrite",,Underground,"Schist,Gneiss","Diabase,Hornblendite"
Barrel Springs Mine,38.23668,-105.3289,NA,United States,Colorado,Custer,N,Barium-Barite,,,Surface,S,Past Producer,Barite,,Surface/Underground,Gneiss,
Venture No. 1 Claim,38.63861,-105.46002,NA,United States,Colorado,Fremont,M,Tungsten,,,Surface,N,Prospect,Scheelite,"Garnet, Quartz",Unknown,"Schist,Gneiss,Migmatite",
Oliver Prospect,38.38668,-105.49086,NA,United States,Colorado,Fremont,M,Tungsten,,,Surface,S,Past Producer,Scheelite,Hornblende,Surface,"Schist,Gneiss,Amphibolite,Granite",Plutonic Rock
Charlene No. 1 Claim,38.67944,-105.54169,NA,United States,Colorado,Fremont,M,Tungsten,Copper,,Surface-Underground,N,Prospect,"Chalcopyrite, Scheelite","Calcite, Epidote, Garnet, Quartz",Surface/Underground,"Schist,Skarn (Tactite)",
Brown Bear Mine,37.55084,-108.16148,NA,United States,Colorado,Montezuma,M,Copper,,,Underground,N,Prospect,"Chalcocite, Malachite","Calcite, Limonite, Pyrite",Underground,"Shale,Sandstone",Monzonite
Dixie Queen Mine,37.57418,-108.17621,NA,United States,Colorado,Montezuma,M,Copper,,,Underground,S,Past Producer,"Chalcocite, Malachite","Calcite, Limonite, Pyrite",Unknown,"Shale,Sandstone,Limestone","Monzonite,Felsic Volcanic Rock,Plutonic Rock"
Dickson-Snooper Mine,38.54029,-105.52919,NA,United States,Colorado,Fremont,M,Uranium,Vanadium,,Surface,S,Past Producer,"Uraninite, Autunite","Calcite, Gypsum, Hematite, Limonite, Pyrite",Surface,"Arkose,Tuff",Rhyolite
Mary L. Group,38.58279,-105.52475,NA,United States,Colorado,Fremont,M,Uranium,,,Surface-Underground,S,Past Producer,"Coffinite, Torbernite, Uraninite","Calcite, Gypsum, Hematite, Limonite, Pyrite",Unknown,Sandstone,Rhyolite
Red Gulch Mine,38.50779,-105.69697,NA,United States,Colorado,Fremont,M,Copper,Silver,Vanadium,Underground,S,Past Producer,"Chalcocite, Malachite, Silver",Barite,Unknown,"Shale,Siltstone,Sandstone,Coal,Black Shale",Conglomerate
Pine Canyon Lode,38.46001,-105.8517,NA,United States,Colorado,Fremont,M,Uranium,Copper,,Underground,N,Prospect,Malachite,,Underground,"Black Shale,Coal",
Morning Star Claims 1943,38.45557,-105.39418,NA,United States,Colorado,Fremont,B,"Tungsten, Vermiculite",,"Copper, Zinc",Surface-Underground,N,Prospect,"Chalcopyrite, Scheelite, Sphalerite, Vermiculite","Diopside, Epidote, Feldspar, Garnet, Limonite, Pyrite, Quartz, Vesuvianite",Unknown,"Schist,Gneiss","Quartz Monzonite,Granite,Pegmatite"
Hellgate Claims Nos. 1-12,38.30279,-105.3489,NA,United States,Colorado,Fremont,B,Barium-Barite,,Lead,Surface-Underground,N,Prospect,"Barite, Galena",Calcite,Unknown,"Schist,Gneiss",Granite
Titusville and Westfall Gulch Prospects,38.29695,-105.39696,NA,United States,Colorado,Fremont,M,Copper,,,Surface-Underground,N,Prospect,Malachite,"Barite, Biotite, Calcite, Pyrite, Quartz, Siderite",Unknown,"Schist,Gneiss","Syenite,Pegmatite,Granite"
Adamic Cow Camp Workings,38.40695,-105.36946,NA,United States,Colorado,Fremont,M,"Copper, Silver",,,Surface-Underground,N,Prospect,Malachite,"Biotite, Garnet, Quartz",Unknown,"Schist,Gneiss","Quartz Monzonite,Granite"
Marsh Gulch Prospects,38.41723,-105.36335,NA,United States,Colorado,Fremont,M,Silver,,,Surface-Underground,N,Prospect,,,Unknown,"Claystone,Shale,Siltstone",
Good News No. 1 Property,38.40501,-105.39474,NA,United States,Colorado,Fremont,M,Copper,"Gold, Silver",,Surface-Underground,N,Prospect,Silver,"Biotite, Feldspar, Garnet, Quartz",Unknown,"Schist,Gneiss","Quartz Monzonite,Diorite,Pegmatite,Granite"
Little Giant Claims,38.38307,-105.45308,NA,United States,Colorado,Fremont,M,Copper,Silver,,Surface-Underground,N,Prospect,"Chalcopyrite, Malachite, Silver",Quartz,Unknown,"Schist,Gneiss","Quartz Monzonite,Diorite,Pegmatite,Granite"
Green Mountain Mine,38.36751,-105.39474,NA,United States,Colorado,Fremont,M,Copper,"Silver, Gold","Zinc, Molybdenum",Underground,S,Past Producer,"Chalcopyrite, Chrysocolla, Covellite, Cuprite, Gahnite, Gold, Hydrozincite, Malachite, Silver, Sphalerite","Garnet, Pyrite, Quartz",Unknown,"Schist,Gneiss,Amphibolite","Quartz Monzonite,Diorite,Granite"
El Plomo Mine,38.3889,-105.34418,NA,United States,Colorado,Fremont,M,"Copper, Zinc","Iron, Silver",,Underground,N,Past Producer,"Chalcanthite, Chalcopyrite, Limonite, Sphalerite",,Underground,"Schist,Gneiss","Quartz Monzonite,Diorite,Granite"
Copper Girl,38.40473,-105.39696,NA,United States,Colorado,Fremont,M,Copper,Silver,Molybdenum,Underground,S,Past Producer,"Bornite, Chalcopyrite, Malachite, Molybdenite, Silver","Quartz, Schist",Surface/Underground,"Schist,Gneiss","Quartz Monzonite,Diorite,Pegmatite,Granite"
Dawson Mountain-Surprise Group,38.3889,-105.29613,NA,United States,Colorado,Fremont,M,Copper,"Silver, Gold",,Surface-Underground,S,Past Producer,"Gold, Malachite, Silver","Biotite, Magnetite, Quartz",Unknown,"Schist,Gneiss","Granodiorite,Diorite,Granite"
Gem Mine,38.27557,-105.54669,NA,United States,Colorado,Fremont,M,Nickel,"Silver, Cobalt, Copper",,Underground,S,Past Producer,"Annabergite, Chalcocite, Niccolite, Silver, Bornite, Chalcopyrite","Calcite, Dolomite, Magnetite, Pyrite, Quartz, Sphalerite",Unknown,"Gabbro,Pyroxenite","Gabbro,Pyroxenite"
Sand Gulch Prospect No. 2,38.42029,-105.6578,NA,United States,Colorado,Fremont,N,"Stone, Crushed/Broken",,,Surface,S,Prospect,"Gold, Hematite, Silver, Sphalerite","Feldspar, Quartz",Surface,Gneiss,"Quartz Monzonite,Diorite,Pegmatite,Granite"
Vermiculite Mine,38.26807,-105.54641,NA,United States,Colorado,Fremont,B,Vermiculite,Niobium (Columbium),"Thorium, REE",Surface,S,Past Producer,"Columbite, Monazite, Perovskite, Pyrochlore, Thorianite, Vermiculite",,Surface,"Gabbro,Pyroxenite","Gabbro,Pyroxenite,Lamprophyre"
Leeks Lode,38.41668,-105.45002,NA,United States,Colorado,Fremont,M,Copper,,,Surface-Underground,S,Past Producer,"Bornite, Chalcocite, Chalcopyrite","Calcite, Pyrite",Unknown,"Mica Schist,Pegmatite",Diorite
Devil's Hole Quarry,38.4714,-105.58641,NA,United States,Colorado,Fremont,B,"Stone, Feldspar, Mica","Beryllium, Niobium (Columbium), Tantalum, Quartz",,Surface,S,Past Producer,"Beryl, Feldspar, Mica, Columbite, Tantalite","Apatite, Biotite, Garnet, Magnetite",Unknown,"Schist,Gneiss,Pegmatite",Quartz Monzonite
Whopper Mine and Prospect,38.69444,-105.47917,NA,United States,Colorado,Fremont,N,Mica,Feldspar,,Surface-Underground,S,Past Producer,"Microcline, Muscovite","Magnetite, Sillimanite, Quartz",Unknown,Gneiss,Diorite
Tickon Prospect,38.69667,-105.48278,NA,United States,Colorado,Fremont,N,Mica,Feldspar,,Surface,S,Prospect,"Microcline, Muscovite",Biotite,Unknown,Gneiss,Diorite
Rosemont Mine,38.69391,-105.478,NA,United States,Colorado,Fremont,B,"Mica, Feldspar",Bismuth,,Surface-Underground,S,Past Producer,"Bismutite, Microcline, Muscovite","Biotite, Garnet",Unknown,Gneiss,Diorite
Rowe's South Prospect,38.675,-105.48364,NA,United States,Colorado,Fremont,B,"Mica, Feldspar",,Beryllium,Surface,N,Prospect,"Microcline, Muscovite",Plagioclase,Unknown,Gneiss,Diorite
Rowe's No. 2 Mine,38.67391,-105.484,NA,United States,Colorado,Fremont,B,Mica,Feldspar,Beryllium,Surface,N,Prospect,"Beryl, Microcline, Muscovite",,Unknown,Gneiss,Diorite
Rowe's North Mine,38.68291,-105.486,NA,United States,Colorado,Fremont,N,"Feldspar, Mica",,,Surface,S,Prospect,"Microcline, Muscovite",,Unknown,Gneiss,Diorite
Lower South Mine,38.6843,-105.48778,NA,United States,Colorado,Fremont,B,"Feldspar, Mica",,Beryllium,Surface,S,Past Producer,"Microcline, Muscovite",Biotite,Unknown,Gneiss,
Star Girl Mine,38.69991,-105.481,NA,United States,Colorado,Park,B,"Feldspar, Mica",,Beryllium,Surface,S,Past Producer,"Beryl, Microcline, Muscovite","Apatite, Biotite, Garnet",Unknown,Gneiss,Diorite
Mica Lode Mine,38.4786,-105.3025,NA,United States,Colorado,Fremont,B,"Quartz, Mica, Feldspar, Beryllium","REE, Tantalum, Niobium (Columbium)","Copper, Lithium, Bismuth",Surface,S,Past Producer,"Beryl, Bismutite, Chalcocite, Lepidolite, Malachite, Microcline, Muscovite","Albite, Garnet, Quartz, Tourmaline",Unknown,"Mica Schist,Gneiss",Diorite
Meyers Mine,38.48084,-105.29168,NA,United States,Colorado,Fremont,B,"Feldspar, Mica","Beryllium, Niobium (Columbium)","Tantalum, Lithium, Uranium, Copper, Bismuth, Lead",Surface,S,Producer,"Albite, Amblygonite, Beryl, Bismutite, Lepidolite, Microcline, Muscovite","Apatite, Garnet, Quartz, Tourmaline",Unknown,"Schist,Gneiss","Granodiorite,Pegmatite"
Lone Star Prospect,45.11429,-113.58921,NA,United States,Idaho,Lemhi,M,Copper,,"Silver, Lead, Lignite",Underground,N,Prospect,"Chalcopyrite, Galena, Malachite, Silver",Pyrite,Underground,Quartzite,
F. M. D. Mine,39.68072,-105.2882,NA,United States,Colorado,Jefferson,M,Copper,,Zinc,Surface-Underground,S,Past Producer,"Chalcopyrite, Pyrite","Apatite, Hematite, Labradorite, Limonite, Magnetite, Malachite, Siderite",Underground,Schist,"Quartz Monzonite,Pegmatite"
Vine Creek Placer,45.61378,-113.97176,NA,United States,Idaho,Lemhi,M,Gold,,,Placer,S,Past Producer,Gold,,Surface,Alluvium,
Green Rock Mine,40.71248,-105.31476,NA,United States,Colorado,Larimer,M,Tungsten,,Molybdenum,Underground,S,Past Producer,"Powellite, Scheelite",,Underground,Schist,Granite
Spaulding Mine,40.7122,-105.31365,NA,United States,Colorado,Larimer,B,Tungsten,,"Molybdenum, Copper, Graphite",Underground,N,Past Producer,"Powellite, Scheelite","Garnet, Graphite",Underground,Schist,Granite
Copperhead Mine,38.11862,-105.78558,NA,United States,Colorado,Saguache,M,"Gold, Silver, Copper",Lead,,Surface-Underground,N,Past Producer,"Chalcopyrite, Galena, Pyrite","Quartz, Epidote, Specularite",Surface,Gneiss,
Narrow Gauge Mine,37.42419,-106.5956,NA,United States,Colorado,Rio Grande,M,"Gold, Silver",Copper,,Underground,S,Past Producer,,,Underground,Quartz Latite,"Quartz Latite,Andesite"
Bessie G. Mine,37.4321,-108.00889,NA,United States,Colorado,La Plata,M,"Silver, Gold",Copper,"Antimony, Mercury, Zinc, Lead, Tellurium",Underground,S,Past Producer,"Chalcopyrite, Cinnabar, Galena, Gold, Pyrite, Sphalerite, Tetrahedrite, Silver","Dickite, Quartz, Sericite",Surface/Underground,"Mudstone,Shale,Sandstone",Diorite
